,KWEA,KWEP,LAGO,PTI,Vegitec,HangarK
0,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
1,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
2,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
3,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
4,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
5,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
6,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
7,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
8,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
9,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
10,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
11,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
12,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
13,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
14,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
15,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
16,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
17,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
18,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
19,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
20,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
21,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
22,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
23,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
24,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
25,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
26,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
27,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
28,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
29,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
30,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
31,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
32,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
33,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
34,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
35,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
36,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
37,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
38,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
39,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
40,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
41,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
42,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
43,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
44,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
45,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
46,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
47,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
48,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
49,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
50,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
51,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
52,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
53,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
54,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
55,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
56,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
57,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
58,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
59,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
60,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
61,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
62,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
63,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
64,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
65,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
66,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
67,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
68,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
69,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
70,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
71,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
72,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
73,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
74,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
75,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
76,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
77,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
78,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
79,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
80,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
81,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
82,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
83,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
84,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
85,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
86,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
87,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
88,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
