,1_Plant1,1_Plant2,1_Plant3,2_Plant1,2_Plant2,2_Plant3,3_Plant1,3_Plant2,3_Plant3,4_Plant1,4_Plant2,4_Plant3,5_Plant1,5_Plant2,5_Plant3,6_Plant1,6_Plant2,6_Plant3,7_Plant1,7_Plant2,7_Plant3
0,702.6555517652649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000000933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,688.4844342892695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000001251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,695.7572157508171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000006503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,696.3542612646979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000001246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,696.6690472280907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000000676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,696.6524795458329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000012705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,696.702182592699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000012983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,696.8816658174392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000001289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,666.6717481312112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000000449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,702.1115308586233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000007543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,674.1797297031106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000004985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,654.2995201429071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000005423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,709.4537753910589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000009135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,710.6107518705953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000000808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,710.2766369445229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000001111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,654.5397515360302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000001081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,704.7982566690989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000014205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,703.3927649552991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000011244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,702.1639951858587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000010573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,701.6283067919904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000000582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,701.3963592400036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000008913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,701.0511991924079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000001197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,700.5873040884408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000013404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,675.297083573131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000001188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,699.0817973295768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000000889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,698.4638794756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000000894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
