,Collectief,KWEA,Penta,Vegitec,LAGO,PTI
0,598.4353625874927,206.52410945173725,582.1955100537525,26.771926019013524,461.5462759601348,244.83222305870095
1,595.449456178015,205.4936528633142,579.2906327458303,26.638346905057762,701.8358320012358,243.61062729451223
2,590.9108784356092,203.92735884891124,574.8752192377887,26.435306651845004,701.8358320012358,241.75380173294536
3,587.5069451288048,202.75263833810905,571.5636591067574,26.283026461935442,223.63582443429218,240.36118256177028
4,587.6860995133734,202.8144657334144,571.7379517452327,26.291041208772782,461.5462759601348,240.43447830762156
5,587.1486363596675,202.6289835474983,571.2150738298069,26.26699696826075,578.1223972077976,240.21459107006763
6,585.2077971935071,201.95918676502333,569.3269035796575,26.180170544189505,580.5015017230561,239.42055382334496
7,567.8895400185372,195.98253855216993,552.4786151937091,25.40541168324609,339.02239342432574,232.33529839105043
8,528.654729798002,182.44233898029174,514.3085273676123,23.6501821258674,222.44627217666277,216.28353004961082
9,496.0187727424123,171.17944846882838,482.55821839202343,22.190162410330935,579.3119494654268,202.9314883470282
10,470.39969574909486,162.33813094015906,457.6343710900517,21.044053612590513,343.7806024548427,192.4501966902891
11,449.25947836999376,155.04249829412424,437.06783974996307,20.098313485783727,582.8806062383145,183.80129867983305
12,436.7485305142828,150.7248851886319,424.89640382976927,19.53861699830909,457.977619187247,178.68281242788237
13,440.3614772697506,151.97173766062372,428.4113053723551,19.700247726195563,343.7806024548427,180.16094330255072
14,467.8019571728493,161.44163370823105,455.1071278321594,20.927839783449,818.4119532488987,191.38740837544492
15,499.6018604337854,172.415996374936,486.04407116153004,22.35045734707785,461.5462759601348,204.39740326405467
16,514.8001240580261,177.66102041000903,500.82989665885367,23.03037503711267,343.7806024548427,210.6153257037752
17,528.0874075802013,182.24655222849137,513.7566006791071,23.624802094215802,459.16717144487626,216.05142685441496
18,533.8800660145877,184.245638010032,519.392062656476,23.883945575289978,459.16717144487626,218.42132263694103
19,536.388227398549,185.1112215443073,521.8321595951306,23.996152031012816,463.9253804753932,219.44746307885956
20,540.1206104103958,186.39929227983603,525.4632562300332,24.16312592345752,223.63582443429218,220.97445778409545
21,545.1369331783183,188.13045934838672,530.3434501073425,24.3875388349032,340.2119456819549,223.02673866793248
22,550.1532559462405,189.86162641693736,535.2236439846516,24.611951746348876,459.16717144487626,225.0790195517695
23,559.4991430079052,193.08695553870132,544.315909958448,25.030054373030406,460.35672370250535,228.90261429368016
24,568.0985534672006,196.05467051335955,552.6819566052636,25.414762221222997,814.843296476011,232.42081009454367
25,575.2348697858521,198.51746175969052,559.6246133711975,25.734016303577263,816.0328487336402,235.34042397095467
26,576.16050077279,198.83690330210163,560.5251253366533,25.775425828903547,819.601505506528,235.71911865785316
27,580.9678100920489,200.49593840946267,565.201977802408,25.990488202372322,459.16717144487626,237.685887838197
28,589.6866568077234,203.5048716476578,573.6842195415406,26.380539215123143,580.5015017230561,241.252947469628
29,596.2556509085741,205.77187614218846,580.0749496189693,26.674413265825816,581.6910539806853,243.9404581508432
30,601.3615508687806,207.53395690839176,585.0422898155161,26.90283355069017,700.6462797436066,246.02938690760587
31,583.8641393092421,201.49548130023297,568.0197087910924,26.120059942909407,220.0671676614044,238.87083572946003
32,539.3442747439317,186.1313735668461,524.7079881299735,24.12839535382902,224.82537669192138,220.65684288540638
33,501.8711493049883,173.19914338213746,488.25177791555086,22.451977473684224,220.0671676614044,205.32581604483806
34,474.99799161969025,163.92503408633047,462.1078821442517,21.249765448082385,820.7910577641571,194.3314541671397
35,456.007626855413,157.37133018396023,443.63286246586705,20.400202283323747,462.735828217764,186.56210510689954
36,448.09497487029745,154.64062022463926,435.93493759987336,20.046217631340976,698.267175228348,183.32487633179946
37,453.40988827916755,156.47483295203224,441.1056192079748,20.283988454182232,223.63582443429218,185.4993167920554
38,468.3692793906501,161.63742046003142,455.65905452066465,20.953219815100592,820.7910577641571,191.61951157064078
39,479.68586468257007,165.54285093015457,466.6685395176895,21.45948465699293,820.7910577641571,196.249359516916
40,477.56587113184094,164.81122675237424,464.6060766290647,21.364643486084336,344.9701547124718,195.382026524342
41,473.17658870990897,163.29645556739248,460.3359069864192,21.168282188569368,576.9328449501683,193.5862807509846
42,467.981111557418,161.50346110353644,455.28142047063477,20.935854530286345,220.0671676614044,191.46070412129626
43,463.83070164824426,160.0711264456285,451.243641012623,20.75017956188784,697.0776229707188,189.76268600907397
44,457.0228350346354,157.72168542402403,444.62052075056056,20.445619182068704,817.2224009912693,186.9774476667237
45,452.2453847794713,156.07295488254724,439.9727170578852,20.23189259973949,342.59105019721346,185.02289444402174
46,446.6318807296534,154.13569649631202,434.51154771899155,19.98076386550266,220.0671676614044,182.72629440734698
47,438.7490878086327,151.41529110287527,426.8426716260771,19.62811500465945,343.7806024548427,179.50128158988878
48,433.2251609510992,149.50894641429275,421.4686486064212,19.380993643841297,699.4567274859775,177.24132942613969
49,430.8662948876119,148.69488570943855,419.1737955331627,19.275466143816242,576.9328449501683,176.2762687724306
50,429.4032007469679,148.1899619811113,417.7504056522809,19.210012377977918,699.4567274859775,175.67768684797812
51,426.1485627606374,147.06676429973024,414.58408938664576,19.06441114376614,226.01492894955052,174.34614746501245
52,427.1040528116702,147.3965104080256,415.51365012518085,19.10715646023198,339.02239342432574,174.73705810955283
53,432.77727498967755,149.3543779260293,421.0329170102329,19.36095677674793,463.9253804753932,177.0580900615114
54,436.0319129760081,150.47757560741036,424.1992332758679,19.506558010959708,224.82537669192138,178.38962944447707
