,1_Plant1_x,1_Plant2_x,1_Plant3_x,2_Plant1_x,2_Plant2_x,2_Plant3_x,3_Plant1_x,3_Plant2_x,3_Plant3_x,4_Plant1_x,4_Plant2_x,4_Plant3_x,5_Plant1_x,5_Plant2_x,5_Plant3_x,6_Plant1_x,6_Plant2_x,6_Plant3_x,7_Plant1_x,7_Plant2_x,7_Plant3_x
0,272.6228163334041,0.0,0.0,1416.193374820854,15.230672803916828,127.16546063232845,0.0,0.0,0.0,254.99999999946925,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
1,352.5362313780234,0.0,0.0,1807.9916385580373,15.521246349679947,145.55154486198728,0.0,0.0,0.0,254.99999999928872,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
2,311.52374210546856,0.0,0.0,1835.8177654676608,15.557931222681935,148.04060633946565,0.0,0.0,0.0,254.9999999996293,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
3,308.1568978161325,0.0,0.0,1823.5421804890832,15.542507662170276,147.49432282982252,0.0,0.0,0.0,254.99999999929167,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
4,306.38176459980923,0.0,0.0,1814.4680069976077,15.530554728997751,146.20248021666552,0.0,0.0,0.0,254.99999999961474,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
5,306.47519266382625,0.0,0.0,1815.0782464062522,15.530368565623867,146.13863586844164,0.0,0.0,0.0,254.99999999927775,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
6,306.1949084717752,0.0,0.0,1813.5680577006174,15.528404906370419,146.01216154321688,0.0,0.0,0.0,254.99999999926197,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
7,305.1827711115908,0.0,0.0,1808.1088372466934,15.521401051892337,145.5611228039269,0.0,0.0,0.0,254.99999999926715,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
8,475.54179146603553,0.0,0.0,1588.735505645242,15.323743769143096,132.94151846297052,0.0,0.0,0.0,254.99999999974338,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
9,275.69064557021863,0.0,0.0,1644.692241619006,15.363621189038584,136.7155565661803,0.0,0.0,0.0,254.99999999957026,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
10,433.20296755025106,0.0,0.0,1381.3742517434775,15.215288325590725,126.14902431262051,0.0,0.0,0.0,254.99999999971513,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
11,545.3109534206848,0.0,0.0,1182.5032112123693,15.139480509252436,121.51980140575787,0.0,0.0,0.0,254.99999999969035,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
12,234.28644186667668,0.0,0.0,1411.9170140805484,15.229694247368567,127.56313498794428,0.0,0.0,0.0,254.99999999948025,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
13,227.7620487294882,0.0,0.0,1375.363422766068,15.212842386247349,125.98999020993489,0.0,0.0,0.0,254.99999999954002,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
14,229.64618135383137,0.0,0.0,1386.0891489693868,15.217464356468474,126.27485478687645,0.0,0.0,0.0,254.99999999936833,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
15,543.956246492438,0.0,0.0,1174.366330278406,15.137400477233198,121.73873336975687,0.0,0.0,0.0,254.99999999938495,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
16,260.5397278554588,0.0,0.0,1560.4234732436869,15.307111965796288,132.4639580820521,0.0,0.0,0.0,254.99999999919277,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
17,268.4655419529026,0.0,0.0,1604.3400125406915,15.335093129853057,134.8561590250171,0.0,0.0,0.0,254.99999999936077,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
18,275.3947900341647,0.0,0.0,1643.7405264108147,15.363024095698792,135.93820736163605,0.0,0.0,0.0,254.99999999939857,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
19,278.415630770715,0.0,0.0,1659.8686256797012,15.375174907608502,137.458711607513,0.0,0.0,0.0,254.99999999966792,0.0,0.0,0.0,0.0,0.0,159.9999999999996,0.0,0.0,0.0,0.0,0.0
