,1_2_s,1_2_r,1_3_s,1_3_r,1_4_s,1_4_r,1_5_s,1_5_r,1_6_s,1_6_r,1_7_s,1_7_r,2_1_s,2_1_r,2_3_s,2_3_r,2_4_s,2_4_r,2_5_s,2_5_r,2_6_s,2_6_r,2_7_s,2_7_r,3_1_s,3_1_r,3_2_s,3_2_r,3_4_s,3_4_r,3_5_s,3_5_r,3_6_s,3_6_r,3_7_s,3_7_r,4_1_s,4_1_r,4_2_s,4_2_r,4_3_s,4_3_r,4_5_s,4_5_r,4_6_s,4_6_r,4_7_s,4_7_r,5_1_s,5_1_r,5_2_s,5_2_r,5_3_s,5_3_r,5_4_s,5_4_r,5_6_s,5_6_r,5_7_s,5_7_r,6_1_s,6_1_r,6_2_s,6_2_r,6_3_s,6_3_r,6_4_s,6_4_r,6_5_s,6_5_r,6_7_s,6_7_r,7_1_s,7_1_r,7_2_s,7_2_r,7_3_s,7_3_r,7_4_s,7_4_r,7_5_s,7_5_r,7_6_s,7_6_r
0,91.84889575461061,70.85947834409333,91.47359216303268,71.69433484737884,94.27721098240728,65.60479656878151,94.2473298604582,65.6674743129742,94.37674509382899,65.39643137525037,94.24229983295491,65.67803076515831,92.34441645795349,69.76449296325912,91.47298041649805,71.69569900796172,94.27721098240728,65.60479656878151,94.2473298604582,65.6674743129742,94.37674509382899,65.39643137525037,94.24229983295491,65.67803076515831,92.34441645795349,69.76449296325912,91.84832180913466,70.8607517317545,94.27742657577821,65.6043445545029,94.2473298604582,65.6674743129742,87.36227698215158,80.87902345705906,94.24229983295491,65.67803076515831,92.34414963446886,69.76508004116803,91.84860877363408,70.86011505480404,91.47359216303268,71.69433484737888,94.2473298604582,65.6674743129742,94.37674509382899,65.39643137525036,94.24229983295491,65.67803076515831,92.34441645795349,69.76449296325912,91.84889575461061,70.85947834409338,91.47359216303265,71.69433484737891,94.27742657577821,65.6043445545029,94.37674509382899,65.39643137525037,94.24229983295491,65.67803076515831,92.34441645795349,69.76449296325912,91.84889575461061,70.85947834409332,91.47359216303266,71.69433484737885,94.27742657577821,65.6043445545029,94.2473298604582,65.6674743129742,94.24229983295491,65.67803076515831,92.34441645795349,69.76449296325912,91.84889575461061,70.85947834409338,91.47359216303265,71.69433484737891,94.27742657577821,65.6043445545029,94.2473298604582,65.6674743129742,94.37674509382899,65.39643137525039
1,91.85786417989885,70.83958191520382,91.47359216303268,71.69433484737884,94.17632223781446,65.81664624354853,94.28742733101214,65.58338019424097,94.31236130403245,65.53113966705915,94.28242890630685,65.59385747773523,92.34441645795349,69.76449296325912,91.47298041649805,71.69569900796172,94.17632223781446,65.81664624354853,94.28742733101214,65.58338019424097,94.31236130403245,65.53113966705915,94.28242890630685,65.59385747773523,92.34441645795349,69.76449296325912,91.85729105273991,70.8408533163773,94.17653988633884,65.81618852115908,94.28742733101214,65.58338019424097,87.31347617937203,80.98572504506899,94.28242890630685,65.59385747773523,92.34414963446886,69.76508004116803,91.85757760819376,70.84021763241822,91.47359216303265,71.69433484737891,94.28742733101214,65.58338019424097,94.31236130403246,65.53113966705914,94.28242890630685,65.59385747773523,92.34441645795349,69.76449296325912,91.85786417989885,70.83958191520381,91.47359216303268,71.69433484737888,94.17653988633884,65.81618852115908,94.31236130403246,65.53113966705914,94.28242890630685,65.59385747773523,92.34441645795349,69.76449296325912,91.85786417989885,70.83958191520382,91.47359216303266,71.69433484737885,94.17653988633884,65.81618852115908,94.28742733101214,65.58338019424097,94.28242890630685,65.59385747773523,92.34441645795349,69.76449296325912,91.85786417989885,70.83958191520381,91.47359216303265,71.69433484737891,94.17653988633884,65.81618852115908,94.28742733101214,65.58338019424097,94.31236130403246,65.53113966705914
2,91.85786417989885,70.83958191520382,91.47359216303268,71.69433484737884,94.29719732165658,65.56290578651925,94.29741251305528,65.56245489137282,94.22213950833198,65.72035717655938,94.20697666932197,65.75220847249805,92.35205294219767,69.74769204013467,91.47298041649805,71.69569900796172,94.29719732165658,65.56290578651925,94.29741251305528,65.56245489137282,94.22213950833198,65.72035717655938,94.20697666932197,65.75220847249805,92.35205294219767,69.74769204013467,91.85729105273991,70.8408533163773,94.29741251305528,65.56245489137282,94.29741251305528,65.56245489137282,94.22213950833199,65.72035717655939,94.20697666932197,65.75220847249805,92.35178639531011,69.74827842591145,91.85757760819376,70.84021763241822,91.47359216303268,71.69433484737888,94.29741251305528,65.56245489137282,87.24584892055833,81.13340878888685,94.20697666932197,65.75220847249805,92.35205294219767,69.74769204013467,91.85786417989885,70.83958191520381,91.47359216303268,71.69433484737888,94.29741251305528,65.56245489137282,94.22213950833198,65.72035717655938,94.20697666932197,65.75220847249805,92.35205294219767,69.74769204013467,91.85786417989885,70.83958191520382,91.47359216303266,71.69433484737885,94.29741251305528,65.56245489137282,94.29741251305528,65.56245489137282,94.20697666932197,65.75220847249805,92.35205294219767,69.74769204013467,91.85786417989885,70.83958191520381,91.47359216303265,71.69433484737891,94.29741251305528,65.56245489137282,94.29741251305528,65.56245489137282,87.24584892055833,81.13340878888685
3,91.85786417989885,70.83958191520382,91.46320931147342,71.71748927063673,94.20675964548298,65.75266446228693,94.25737794251773,65.64639137831419,94.38167162461731,65.38613481306642,94.31236130403245,65.53113966705915,92.35205294219767,69.74769204013467,91.46259643384036,71.71885612493605,94.20675964548298,65.75266446228693,94.25737794251773,65.64639137831419,94.38167162461731,65.38613481306642,94.31236130403245,65.53113966705915,92.35205294219767,69.74769204013467,91.85729105273991,70.8408533163773,94.20697666932197,65.75220847249805,94.25737794251773,65.64639137831419,87.36602948199098,80.87081423453003,94.31236130403245,65.53113966705915,92.35178639531011,69.74827842591145,91.85757760819376,70.84021763241822,91.46320931147342,71.71748927063673,94.25737794251773,65.64639137831419,94.3816716246173,65.38613481306642,94.31236130403245,65.53113966705915,92.35205294219767,69.74769204013467,91.85786417989885,70.83958191520381,91.46320931147342,71.71748927063673,94.20697666932197,65.75220847249805,94.3816716246173,65.38613481306642,94.31236130403245,65.53113966705915,92.35205294219767,69.74769204013467,91.85786417989885,70.83958191520382,91.46320931147342,71.71748927063673,94.20697666932197,65.75220847249805,94.25737794251773,65.64639137831419,94.31236130403245,65.53113966705915,92.35205294219767,69.74769204013467,91.85786417989885,70.83958191520381,91.46320931147342,71.71748927063673,94.20697666932197,65.75220847249805,94.25737794251773,65.64639137831419,94.3816716246173,65.38613481306639
4,91.84889575461062,70.85947834409335,91.46320931147343,71.71748927063675,94.3567880788736,65.43815812701295,94.38167162461731,65.38613481306642,94.26239602294746,65.6358648361023,94.41115422365898,65.3245485402512,92.34441645795349,69.76449296325912,91.46259643384036,71.71885612493605,94.3567880788736,65.43815812701295,94.38167162461731,65.38613481306642,94.26239602294746,65.6358648361023,94.41115422365898,65.3245485402512,92.34441645795349,69.76449296325912,91.84832180913465,70.86075173175452,94.35700208154171,65.43771054641711,94.38167162461731,65.38613481306642,87.27591372191912,81.06777981130028,94.41115422365898,65.3245485402512,92.34414963446886,69.76508004116803,91.8486087736341,70.86011505480404,91.46320931147342,71.71748927063673,94.38167162461731,65.38613481306642,94.26239602294746,65.63586483610229,94.41115422365898,65.3245485402512,92.34441645795349,69.76449296325912,91.84889575461061,70.8594783440933,91.46320931147342,71.71748927063673,94.35700208154171,65.43771054641711,94.26239602294746,65.6358648361023,94.41115422365898,65.3245485402512,92.34441645795349,69.76449296325912,91.84889575461061,70.85947834409332,91.46320931147342,71.71748927063673,94.35700208154171,65.43771054641711,94.38167162461731,65.38613481306642,94.41115422365898,65.3245485402512,92.34441645795349,69.76449296325912,91.84889575461061,70.8594783440933,91.46320931147342,71.71748927063673,94.35700208154171,65.43771054641711,94.38167162461731,65.38613481306642,94.26239602294746,65.6358648361023
5,91.84889575461061,70.85947834409333,91.47359216303268,71.69433484737884,94.27721098240728,65.60479656878151,94.2473298604582,65.6674743129742,94.37674509382899,65.39643137525037,94.24229983295491,65.67803076515831,92.34441645795349,69.76449296325912,91.47298041649805,71.69569900796172,94.27721098240728,65.60479656878151,94.2473298604582,65.6674743129742,94.37674509382899,65.39643137525037,94.24229983295491,65.67803076515831,92.34441645795349,69.76449296325912,91.84832180913466,70.8607517317545,94.27742657577821,65.6043445545029,94.2473298604582,65.6674743129742,87.36227698215158,80.87902345705906,94.24229983295491,65.67803076515831,92.34414963446886,69.76508004116803,91.84860877363408,70.86011505480404,91.47359216303268,71.69433484737888,94.2473298604582,65.6674743129742,94.37674509382899,65.39643137525037,94.24229983295491,65.67803076515831,92.34441645795349,69.76449296325912,91.84889575461061,70.85947834409338,91.47359216303265,71.69433484737891,94.27742657577821,65.6043445545029,94.37674509382899,65.39643137525037,94.24229983295491,65.67803076515831,92.34441645795349,69.76449296325912,91.84889575461061,70.85947834409332,91.47359216303266,71.69433484737885,94.27742657577821,65.6043445545029,94.2473298604582,65.6674743129742,94.24229983295491,65.67803076515831,92.34441645795349,69.76449296325912,91.84889575461061,70.85947834409338,91.47359216303265,71.69433484737891,94.27742657577821,65.6043445545029,94.2473298604582,65.6674743129742,94.37674509382899,65.39643137525037
