BCE,BST1,BSTA,BST5,KWEA,KWEAD,KWEP,KWEPARKING,THEWING,THELEVEL
20.91,10,7.5,0,73,1.63,0,0.23,15.29,32.28
22.2,9,5,0,73,3.44,0,0.23,15.29,31.58
20.59,11,10,0,70,2.44,0,0.23,14.98,32.08
21.23,9,7.5,0,72,3.44,0,0.23,14.48,32.99
21.63,10,5,0,71,3.84,0,0.23,13.63,31.38
20.99,9,10,0,71,7.36,0,0.23,16.84,30.27
21.31,11,7.5,0,71,7.56,0,0.23,23.38,31.28
22.92,9,5,0,73,8.87,0,0.23,16.44,28.16
22.6,9,7.5,0,75,9.87,0,0.23,13.68,23.64
23.32,10,7.5,0,75,11.88,0,0.23,15.59,22.03
22.28,10,10,0,73,12.38,0,0.23,14.28,20.53
22.6,9,7.5,3,76,15.8,0,0.23,20.31,20.53
25.01,9,7.5,3,73,15.4,0,0.23,19.2,19.72
22.36,11,7.5,6,74,16.91,0,0.23,17.4,18.92
22.04,9,7.5,3,75,15.8,0,0.23,15.03,18.52
28.15,10,7.5,10,74,18.62,2,0.23,21.52,17.81
34.74,10,7.5,16,74,18.21,1,0.23,20.01,23.14
35.22,10,7.5,21,74,19.92,12,0.23,17.19,23.14
34.34,9,7.5,26,71,21.03,19,0.23,15.44,23.04
34.66,10,7.5,31,75,21.93,22,0.23,14.23,23.44
37.79,9,7.5,34,72,22.74,23,0.23,14.58,26.35
38.36,10,7.5,39,75,21.33,25,0.23,13.33,24.24
34.5,10,7.5,40,72,23.14,26,0.23,17.9,25.65
34.66,9,7.5,41,75,21.83,28,0.23,19.46,24.44
34.5,9,7.5,42,73,23.44,29,0.23,16.64,23.34
34.98,9,7.5,45,72,22.94,28,0.23,18.3,23.64
33.85,9,10,43,73,23.74,22,0.23,19.2,23.24
34.18,9,7.5,44,75,23.14,23,0.23,16.94,21.13
34.9,9,10,43,73,26.05,30,0.23,15.08,24.04
34.42,8,7.5,41,70,23.64,30,0.23,18.2,20.32
33.05,9,10,43,71,23.24,30,0.23,20.16,13.79
20.35,9,7.5,42,71,23.44,29,0.23,17.24,12.89
20.67,9,10,41,72,22.23,29,0.23,13.63,15.3
20.75,9,7.5,42,72,24.04,29,0.23,15.29,15.2
20.43,9,10,42,70,22.33,30,0.23,14.03,14.9
20.35,9,10,42,72,24.75,29,0.23,13.93,15.1
20.51,9,7.5,42,69,22.23,29,0.23,13.63,15.1
20.99,9,12.5,41,72,23.64,29,0.23,11.77,15.1
22.28,9,7.5,44,71,22.43,30,0.23,12.87,15
23,9,10,41,74,23.54,26,0.23,11.97,14.9
21.07,8,10,42,70,23.44,21,0.23,11.32,15
20.91,9,7.5,42,73,22.43,29,0.23,12.67,15.4
20.19,9,10,41,70,23.54,34,0.23,12.82,15.3
19.94,8,7.5,42,74,22.64,35,0.23,11.87,14.9
20.83,9,10,40,69,23.84,31,0.23,11.11,14.9
20.51,9,10,40,71,23.24,30,0.23,10.21,14.7
20.51,9,7.5,41,73,22.94,28,0.23,9.86,15
20.83,8,10,41,73,23.54,30,0.23,10.31,15
20.19,9,10,44,73,22.84,30,0.23,10.46,15
20.11,9,10,42,69,23.94,31,0.23,11.01,15.1
20.99,9,7.5,41,73,22.33,30,0.23,11.52,14.9
20.19,8,10,40,73,24.44,30,0.23,12.47,15
20.43,9,10,40,69,22.03,27,0.23,10.31,15.1
20.91,9,10,41,70,23.94,23,0.23,10.11,15.1
20.35,8,7.5,39,70,23.24,25,0.23,10.01,14.9
19.94,9,10,41,71,23.44,31,0.23,9.61,14.9
21.15,9,10,39,77,24.14,30,0.23,9.56,15
21.15,9,10,42,79,22.13,29,0.23,9.96,14.9
20.99,8,10,40,80,24.04,29,0.23,8.85,14.7
23.72,9,7.5,41,79,22.64,34,0.23,8.3,12.18
24.05,9,10,39,79,23.64,84,0.23,8.55,10.07
21.39,10,10,40,81,24.85,79,0.23,9.15,12.79
21.31,9,12.5,40,80,24.34,74,0.23,9,10.78
36.91,8,10,43,84,25.25,69,0.23,8.1,13.09
39.16,9,25,40,93,22.64,69,0.23,9.41,15.4
37.55,10,17.5,40,115,25.75,74,0.23,8.95,19.12
43.66,11,15,52,113,22.43,74,0.23,9.31,17.81
35.14,23,17.5,59,131,24.44,71,0.23,11.77,20.32
41.57,27,20,63,151,25.75,62,0.23,10.76,26.86
41.89,33,15,61,163,24.95,55,0.23,10.81,29.67
46.4,42,20,56,203,27.06,61,0.23,10.21,33.09
58.13,57,17.5,30,210,25.65,64,0.23,10.01,32.38
56.77,47,20,37,215,27.26,58,0.23,9.31,36.1
59.5,47,27.5,35,220,28.67,50,0.23,9,35.3
78.15,57,22.5,47,219,27.06,35,0.23,11.92,32.69
71.72,49,25,48,212,26.45,37,0.23,11.62,37.91
70.92,59,15,30,201,29.37,20,0.23,11.37,36.81
72.37,44,10,40,224,27.86,15,0.23,12.87,38.51
72.61,42,17.5,36,234,30.37,8,0.23,10.86,40.73
74.7,44,12.5,27,228,28.77,6,0.23,11.21,38.11
78.07,43,15,34,230,29.27,10,0.23,16.54,37.41
73.89,37,12.5,16,232,31.78,4,0.23,11.82,36
68.99,34,15,8,223,31.88,1,0.23,11.52,37.61
89.89,43,17.5,3,212,34.8,2,0.23,11.82,39.22
69.39,38,12.5,3,201,30.37,1,0.23,17.19,40.52
66.34,40,10,2,203,32.89,1,0.23,21.62,39.42
75.34,51,10,2,199,29.97,1,0.23,16.94,38.01
61.91,40,12.5,2,186,24.14,0,0.23,15.18,39.32
67.14,34,20,1,214,20.83,1,0.23,13.22,37.31
80.65,34,15,2,231,20.73,0,0.23,12.47,37.01
67.94,34,20,0,237,18.92,0,0.23,15.18,38.21
85.39,35,15,0,228,22.43,0,0.23,15.34,37.21
67.38,43,17.5,3,233,31.58,1,0.23,14.58,38.31
69.63,34,10,5,235,33.59,0,0.23,12.47,37.31
66.58,35,17.5,0,226,28.06,0,0.23,12.37,37.71
59.74,31,15,4,202,37.21,0,0.23,12.32,37.81
59.18,30,10,8,217,32.69,0,0.23,15.18,40.63
54.03,28,15,1,231,34.39,0,0.23,14.68,39.92
51.54,25,10,12,229,37.31,0,0.23,14.93,38.62
47.36,26,15,14,226,33.79,0,0.23,17.09,37.41
50.09,24,10,9,217,34.49,0,0.23,15.74,39.22
47.44,21,12.5,2,204,31.88,2,0.23,14.18,38.01
43.34,21,12.5,3,136,31.58,5,0.23,16.59,36.61
39.88,20,15,3,125,30.17,11,0.23,18.2,36.5
40.61,19,12.5,6,123,32.38,11,0.23,15.54,28.97
38.2,18,10,15,118,32.79,31,0.23,18.3,27.06
36.35,14,7.5,17,117,28.06,24,0.23,19.86,26.45
37.87,12,7.5,17,110,27.26,26,0.23,15.03,25.95
34.42,13,10,28,108,26.05,33,0.23,17.5,20.02
33.05,13,7.5,30,110,27.46,37,0.23,18.95,19.62
31.44,12,5,33,100,27.46,38,0.23,22.27,19.32
30.88,14,10,26,98,26.66,39,0.23,22.87,19.22
31.92,12,5,29,101,28.77,47,0.23,23.02,22.54
30.24,11,7.5,33,99,27.56,57,0.23,23.68,20.73
29.11,11,7.5,36,91,28.87,20,0.23,21.62,21.23
28.31,11,7.5,40,86,28.46,27,0.23,22.82,23.54
29.27,11,7.5,46,90,28.57,23,0.23,18.4,23.04
27.66,11,7.5,48,87,29.47,18,0.23,17.7,22.13
27.66,11,7.5,49,87,30.47,22,0.23,16.94,23.74
28.07,12,7.5,51,89,32.48,31,0.23,15.34,23.94
27.98,10,10,53,89,31.88,33,0.23,18.25,21.13
25.25,10,5,57,89,34.39,33,0.23,17.9,22.43
24.21,10,7.5,55,77,33.79,34,0.23,15.69,21.93
25.09,11,10,53,83,36.2,33,0.23,16.04,23.24
23.08,10,7.5,51,78,33.39,33,0.23,16.14,21.23
25.41,10,7.5,53,77,35.7,31,0.23,17.14,16.91
22.76,10,10,50,75,34.6,32,0.23,15.79,14.7
22.28,11,7.5,54,75,34.6,32,0.23,17.24,12.49
20.99,10,7.5,50,77,33.89,32,0.23,16.79,15.1
21.87,11,10,52,76,34.09,31,0.23,18.95,15
21.87,10,7.5,45,74,33.89,24,0.23,18.35,15
20.91,10,10,44,77,32.99,25,0.23,17.3,14.8
21.87,10,7.5,42,74,0.43,29,0.23,16.69,14.7
20.51,11,10,41,76,0.43,31,0.23,15.59,14.7
21.95,10,7.5,43,75,0.43,33,0.23,14.43,14.7
21.47,10,10,41,73,0.43,33,0.23,14.13,14.9
21.07,11,7.5,43,78,0.43,33,0.23,14.23,14.8
21.55,9,7.5,42,74,0.43,37,0.23,13.12,15
21.63,11,10,43,75,0.43,38,0.23,12.02,14.8
20.03,10,10,42,75,0.43,36,0.23,13.78,15.8
24.61,11,7.5,43,75,0.43,37,0.23,12.92,16.2
23.56,10,7.5,42,75,0.43,31,0.23,12.62,16.1
21.39,10,10,42,75,0.43,31,0.23,11.62,15.2
23.64,10,7.5,43,76,0.43,24,0.23,10.76,14.9
21.95,10,10,41,76,0.43,23,0.23,10.66,15
21.47,10,7.5,42,71,0.43,31,0.23,13.88,14.9
20.35,10,7.5,42,74,0.43,31,0.23,12.57,14.8
21.15,11,10,42,73,0.43,33,0.23,11.52,14.8
21.23,10,7.5,42,76,0.43,32,0.23,10.06,14.9
21.15,10,10,42,72,0.43,31,0.23,9.15,14.9
20.83,10,7.5,42,73,0.43,32,0.23,8.85,14.8
20.91,10,10,43,77,0.43,32,0.23,9.1,14.5
