0,1,2,3,4,5,6,7,8,9
0.2122165796438024,0.06437307774837282,0.053644231456977345,0.0,0.5149846219869826,0.012373936056075813,0.0,0.0016450897646806387,0.0953436807095344,0.04541878263357415
0.20988376343299955,0.058483807295854666,0.05482856933986404,0.0,0.5263542656626948,0.00972293296293589,0.0,0.0016814094597558307,0.09481687257840489,0.04422837926749033
0.2023180751173712,0.06602112676056336,0.0550176056338028,0.0,0.5134976525821594,0.01122359154929577,0.0,0.0016872065727699525,0.10512030516431921,0.0451144366197183
0.19081557678177807,0.06612784717119764,0.05510653930933138,0.0,0.5170462894930198,0.013445995591476856,0.0,0.0,0.11153563556208669,0.04592211609110947
0.19927113702623905,0.061151603498542095,0.054664723032069984,0.0,0.5174927113702624,0.020699708454810496,0.0,0.0,0.10043731778425657,0.04628279883381924
0.19838472834067547,0.04618208516886918,0.05506607929515419,0.0,0.5359765051395009,0.0,0.0,0.0,0.11776798825256975,0.04662261380323055
0.22450436161776371,0.07137192704203013,0.015067406819984003,0.0,0.56304520222046,0.0,0.0,0.0,0.1260111022997621,0.0
0.24505208333333334,0.0,0.06510416666666667,0.0,0.6163194444444444,0.0,0.0,0.0,0.0009548611111110938,0.07256944444444445
0.2521739130434783,0.0,0.0,0.0,0.6197964847363552,0.0,0.0,0.0,0.039500462534690084,0.08852913968547642
0.29000000000000004,0.09090909090909091,0.050505050505050504,0.0,0.29262626262626257,0.05808080808080808,0.0,0.0023232323232323234,0.14323232323232324,0.07232323232323233
5.551115123125783e-17,0.0787234042553191,0.0797872340425532,0.0,0.7021276595744681,0.0,0.0,0.002446808510638298,0.13691489361702128,0.0
0.3225581395348837,0.10465116279069768,0.0872093023255814,0.0,0.15569767441860455,0.08906976744186047,0.0,0.002674418604651163,0.16662790697674418,0.07151162790697675
0.3523684210526316,0.11842105263157894,0.09868421052631579,0.0,0.04263157894736841,0.10999999999999999,0.0,0.0030263157894736843,0.2018421052631579,0.07302631578947369
