Time,1_Plant1,3_Plant1,6_Plant1
1,247.70735924289403,87.6363636363636,70.0
2,264.91535924289406,105.09090909090904,70.0
3,247.70735924289403,87.6363636363636,70.0
4,253.58400000000017,105.09090909090901,70.0
5,270.79200000000014,122.54545454545445,70.0
6,288.0000000000001,139.9999999999999,95.71428571428572
7,288.0,139.9999999999999,70.0
8,288.0000000000001,139.9999999999999,70.0
9,288.0,139.9999999999999,70.0
10,288.0000000000001,139.9999999999999,70.0
11,270.79200000000014,122.54545454545445,70.0
12,288.0,139.9999999999999,70.0
13,288.0000000000001,137.26367952587572,70.0
14,270.79200000000014,122.54545454545445,70.0
15,288.0000000000001,139.9999999999999,70.0
16,288.0000000000001,126.14109028951242,70.0
17,288.0000000000001,139.9999999999999,70.0
18,288.0000000000001,139.9999999999999,70.0
19,288.0000000000001,139.9999999999999,70.0
20,288.0,139.9999999999999,70.0
21,288.0,139.9999999999999,70.0
22,288.0,139.9999999999999,70.0
23,288.0,139.9999999999999,70.0
24,288.0000000000001,139.9999999999999,70.0
25,270.79200000000014,122.54545454545445,70.0
26,282.3850622652941,105.09090909090904,70.0
27,270.79200000000014,122.53802970769442,70.0
28,253.58400000000017,105.09090909090904,70.0
29,270.79200000000014,122.54545454545445,70.0
30,288.0000000000001,139.9999999999999,95.71428571428572
31,288.0000000000001,139.9999999999999,70.0
32,270.79200000000014,122.54545454545445,70.0
33,267.2951102196939,105.09090909090904,70.0
34,270.79200000000014,122.54545454545442,70.0
35,288.0000000000001,139.99999999999986,95.71428571428572
36,270.79200000000014,122.54545454545442,70.0
37,288.0000000000001,139.9999999999999,70.0
38,270.79200000000014,122.54545454545445,70.0
39,288.0000000000001,139.9999999999999,70.0
40,288.0000000000001,139.9999999999999,70.0
41,270.79200000000014,122.54545454545445,70.0
42,288.0000000000001,139.9999999999999,70.0
43,270.79200000000014,122.54545454545445,70.0
44,288.0000000000001,139.9999999999999,70.0
45,288.0000000000001,139.9999999999999,95.71428571428572
46,270.79200000000014,122.54545454545445,70.0
47,253.58400000000017,105.09090909090904,70.0
48,270.79200000000014,122.54545454545445,70.0
49,288.0000000000001,131.52450157177046,70.0
50,288.0000000000001,114.06995611722505,70.0
51,270.79200000000014,96.61541066267966,70.0
52,253.58400000000017,79.16086520813423,70.0
53,236.3760000000002,70.1818181818182,70.0
54,253.58400000000017,87.63636363636363,70.0
55,270.79200000000014,105.09090909090904,70.0
56,288.0000000000001,122.54545454545445,70.0
57,288.0000000000001,139.9999999999999,70.0
58,270.79200000000014,122.54545454545445,70.0
59,288.0000000000001,139.9999999999999,70.0
60,288.0000000000001,122.63433314405779,70.0
61,288.0000000000001,139.9999999999999,70.0
62,270.79200000000014,122.54545454545445,70.0
63,270.79200000000014,122.54545454545448,70.0
64,288.0000000000001,139.99999999999991,95.71428571428572
65,270.79200000000014,122.54545454545448,70.0
66,253.58400000000017,105.09090909090907,70.0
67,270.79200000000014,122.54545454545448,70.0
68,288.0000000000001,139.99999999999991,70.0
69,288.0000000000001,139.9999999999999,70.0
70,270.79200000000014,122.54545454545445,70.0
71,288.0000000000001,139.9999999999999,70.0
72,288.0000000000001,122.54545454545445,70.0
73,270.79200000000014,105.09090909090904,70.0
74,253.58400000000017,87.6363636363636,70.0
75,270.79200000000014,105.09090909090901,70.0
76,288.0000000000001,122.54545454545445,70.0
77,288.0000000000001,139.99999999999986,70.0
78,270.79200000000014,122.54545454545445,70.0
79,288.0000000000001,139.9999999999999,70.0
80,288.0000000000001,139.99999999999991,81.96106588846925
81,270.79200000000014,122.5454545454545,70.0
82,253.58400000000017,105.0909090909091,70.0
83,236.3760000000002,87.63636363636368,70.0
84,253.58400000000017,105.0909090909091,70.0
85,270.79200000000014,122.5454545454545,70.0
86,288.0000000000001,139.99999999999991,70.0
87,288.0000000000001,139.9999999999999,70.0
88,270.79200000000014,122.54545454545445,70.0
89,253.58400000000017,105.09090909090904,70.0
90,236.3760000000002,87.63636363636363,70.0
91,253.58400000000017,105.09090909090904,70.0
92,270.79200000000014,122.54545454545445,70.0
93,288.0000000000001,139.9999999999999,70.0
