Time,1_Plant1,1_Plant2,1_Plant3,2_Plant1,2_Plant2,2_Plant3,3_Plant1,3_Plant2,3_Plant3,4_Plant1,4_Plant2,4_Plant3,5_Plant1,5_Plant2,5_Plant3,6_Plant1,6_Plant2,6_Plant3,7_Plant1,7_Plant2,7_Plant3
1,412.84559873815675,0.0,0.0,0.0,1.6128378506050467,0.0,146.060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,0.0,0.0,0.0
2,441.52559873815676,62.5,0.0,144.5,4.425337850605047,21.25,175.15151515151507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,5.295895823079699,0.0,0.0
3,412.84559873815675,0.0,0.0,242.1083958230797,7.237837850605047,42.5,146.060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,0.0,0.0,0.0
4,422.6400000000003,62.5,0.0,386.6083958230797,10.050337850605047,63.75,175.151515151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,0.0,0.0,0.0
5,451.3200000000003,125.0,0.0,531.1083958230797,12.862837850605047,85.0,204.24242424242408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,31.25,2.93643957307971,0.0
6,480.0000000000002,187.5,0.0,675.6083958230797,15.675337850605047,106.25,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.52380952380955,0.0,0.0,62.5,92.93643957307971,0.0
7,480.0,125.0,0.0,759.6092442355799,18.487837850605047,127.5,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,93.75,65.7940243230797,0.0
8,480.0000000000002,62.5,0.0,615.1092442355799,15.675337850605047,106.25,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,93.75,7.039079935579524,0.0
9,480.0,3.7969197624996465,0.0,518.2208080605799,18.487837850605047,127.5,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,62.5,26.41825694808017,0.0
10,480.0000000000002,66.29691976249964,0.0,662.72080806058,21.300337850605047,148.75,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,31.25,111.8636675730797,0.0
11,451.3200000000003,3.7969197624996465,0.0,518.22080806058,18.487837850605047,127.5,204.24242424242408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,0.0,21.863667573079706,0.0
12,480.0,62.5,0.0,373.72080806058,15.675337850605047,106.25,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,31.25,68.1935154105797,0.0
13,480.0000000000002,0.0,0.0,229.22080806057997,12.862837850605047,85.0,228.77279920979288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,0.0,0.0,0.0
14,451.3200000000003,0.0,0.0,182.6612385855796,15.675337850605047,106.25,204.24242424242408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,0.0,0.0,0.0
