Aansluitpuntdetails;
Naam; Howest Campus GKG Kortrijk - WKK;
EAN-nummer;541454897100092999;
Straat;GRAAF KAREL DE GOEDELAAN;
Huisnummer;7;
Postcode;8500;
Gemeente;KORTRIJK;
Energietype;Electriciteit;
Metering method;Continue
Richting;Production;
Metadata;
Geen meta gevonden voor dit aansluitpunt;;;
Kanaal;Tijdstip;Waarde;Validatie;Reden;Eenheid;
A;01/01/2023 00:15;0;N;ORIG;KWH;
A;01/01/2023 00:30;0;N;ORIG;KWH;
A;01/01/2023 00:45;0;N;ORIG;KWH;
A;01/01/2023 01:00;0;N;ORIG;KWH;
A;01/01/2023 01:15;0;N;ORIG;KWH;
A;01/01/2023 01:30;0;N;ORIG;KWH;
A;01/01/2023 01:45;0;N;ORIG;KWH;
A;01/01/2023 02:00;0;N;ORIG;KWH;
A;01/01/2023 02:15;0;N;ORIG;KWH;
A;01/01/2023 02:30;0;N;ORIG;KWH;
A;01/01/2023 02:45;0;N;ORIG;KWH;
A;01/01/2023 03:00;0;N;ORIG;KWH;
A;01/01/2023 03:15;21,712;N;ORIG;KWH;
A;01/01/2023 03:30;49,838;N;ORIG;KWH;
A;01/01/2023 03:45;51,037;N;ORIG;KWH;
A;01/01/2023 04:00;51,075;N;ORIG;KWH;
A;01/01/2023 04:15;51,037;N;ORIG;KWH;
A;01/01/2023 04:30;51,037;N;ORIG;KWH;
A;01/01/2023 04:45;51,075;N;ORIG;KWH;
A;01/01/2023 05:00;51,037;N;ORIG;KWH;
A;01/01/2023 05:15;51,075;N;ORIG;KWH;
A;01/01/2023 05:30;43,2;N;ORIG;KWH;
A;01/01/2023 05:45;50,212;N;ORIG;KWH;
A;01/01/2023 06:00;51,15;N;ORIG;KWH;
A;01/01/2023 06:15;51,15;N;ORIG;KWH;
A;01/01/2023 06:30;51,337;N;ORIG;KWH;
A;01/01/2023 06:45;51,938;N;ORIG;KWH;
A;01/01/2023 07:00;51,562;N;ORIG;KWH;
A;01/01/2023 07:15;52,05;N;ORIG;KWH;
A;01/01/2023 07:30;47,887;N;ORIG;KWH;
A;01/01/2023 07:45;45,787;N;ORIG;KWH;
A;01/01/2023 08:00;45,6;N;ORIG;KWH;
A;01/01/2023 08:15;45,525;N;ORIG;KWH;
A;01/01/2023 08:30;46,688;N;ORIG;KWH;
A;01/01/2023 08:45;46,725;N;ORIG;KWH;
A;01/01/2023 09:00;43,987;N;ORIG;KWH;
A;01/01/2023 09:15;42,825;N;ORIG;KWH;
A;01/01/2023 09:30;41,85;N;ORIG;KWH;
A;01/01/2023 09:45;31,35;N;ORIG;KWH;
A;01/01/2023 10:00;0,488;N;ORIG;KWH;
A;01/01/2023 10:15;0;N;ORIG;KWH;
A;01/01/2023 10:30;0;N;ORIG;KWH;
A;01/01/2023 10:45;0;N;ORIG;KWH;
A;01/01/2023 11:00;0,075;N;ORIG;KWH;
A;01/01/2023 11:15;12,675;N;ORIG;KWH;
A;01/01/2023 11:30;1,2;N;ORIG;KWH;
A;01/01/2023 11:45;0;N;ORIG;KWH;
A;01/01/2023 12:00;0;N;ORIG;KWH;
A;01/01/2023 12:15;0;N;ORIG;KWH;
A;01/01/2023 12:30;0;N;ORIG;KWH;
A;01/01/2023 12:45;0;N;ORIG;KWH;
A;01/01/2023 13:00;11,475;N;ORIG;KWH;
A;01/01/2023 13:15;1,912;N;ORIG;KWH;
A;01/01/2023 13:30;0;N;ORIG;KWH;
A;01/01/2023 13:45;0;N;ORIG;KWH;
A;01/01/2023 14:00;0;N;ORIG;KWH;
A;01/01/2023 14:15;0;N;ORIG;KWH;
A;01/01/2023 14:30;0;N;ORIG;KWH;
