Aansluitpuntdetails;
Naam;Universiteit Gent GOV;
EAN-nummer;541448860019723321;
Straat;GRAAF KAREL DE GOEDELAAN;
Huisnummer;46 TN01;
Postcode;8500;
Gemeente;KORTRIJK;
Energietype;Electriciteit;
Metering method;Continue
Richting;Consumptie;
Metadata;
Geen meta gevonden voor dit aansluitpunt;;;
Kanaal;Tijdstip;Waarde;Validatie;Reden;Eenheid;
A;05/01/2023 10:45;1,875;N;ORIG;KWH;
A;05/01/2023 11:00;2,5;N;ORIG;KWH;
A;05/01/2023 11:15;3,125;N;ORIG;KWH;
A;05/01/2023 11:30;2,5;N;ORIG;KWH;
A;05/01/2023 11:45;3,125;N;ORIG;KWH;
A;05/01/2023 12:00;3,125;N;ORIG;KWH;
A;05/01/2023 12:15;2,5;N;ORIG;KWH;
A;05/01/2023 12:30;3,125;N;ORIG;KWH;
A;05/01/2023 12:45;3,125;N;ORIG;KWH;
A;05/01/2023 13:00;2,5;N;ORIG;KWH;
A;05/01/2023 13:15;3,75;N;ORIG;KWH;
A;05/01/2023 13:30;2,5;N;ORIG;KWH;
A;05/01/2023 13:45;3,75;N;ORIG;KWH;
A;05/01/2023 14:00;3,125;N;ORIG;KWH;
A;05/01/2023 14:15;3,75;N;ORIG;KWH;
A;05/01/2023 14:30;3,75;N;ORIG;KWH;
A;05/01/2023 14:45;3,125;N;ORIG;KWH;
A;05/01/2023 15:00;5;N;ORIG;KWH;
A;05/01/2023 15:15;3,75;N;ORIG;KWH;
A;05/01/2023 15:30;3,125;N;ORIG;KWH;
A;05/01/2023 15:45;2,5;N;ORIG;KWH;
A;05/01/2023 16:00;2,5;N;ORIG;KWH;
A;05/01/2023 16:15;3,75;N;ORIG;KWH;
A;05/01/2023 16:30;3,125;N;ORIG;KWH;
A;05/01/2023 16:45;3,125;N;ORIG;KWH;
A;05/01/2023 17:00;3,125;N;ORIG;KWH;
A;05/01/2023 17:15;3,125;N;ORIG;KWH;
A;05/01/2023 17:30;3,125;N;ORIG;KWH;
