Aansluitpuntdetails;
Naam; Hogeschool West-Vlaanderen - WKK;
EAN-nummer;541454897100135665;
Straat;SINT-MARTENS-LATEMLAAN;
Huisnummer;1;
Postcode;8500;
Gemeente;KORTRIJK;
Energietype;Electriciteit;
Metering method;Continue
Richting;Production;
Metadata;
Geen meta gevonden voor dit aansluitpunt;;;
Kanaal;Tijdstip;Waarde;Validatie;Reden;Eenheid;
A;16/10/2020 00:15;0;N;ORIG;KWH;
A;16/10/2020 00:30;0;N;ORIG;KWH;
A;16/10/2020 00:45;0;N;ORIG;KWH;
A;16/10/2020 01:00;0;N;ORIG;KWH;
A;16/10/2020 01:15;0;N;ORIG;KWH;
A;16/10/2020 01:30;0;N;ORIG;KWH;
A;16/10/2020 01:45;0;N;ORIG;KWH;
A;16/10/2020 02:00;0;N;ORIG;KWH;
A;16/10/2020 02:15;0;N;ORIG;KWH;
A;16/10/2020 02:30;0;N;ORIG;KWH;
A;16/10/2020 02:45;0;N;ORIG;KWH;
A;16/10/2020 03:00;0;N;ORIG;KWH;
A;16/10/2020 03:15;0;N;ORIG;KWH;
A;16/10/2020 03:30;0;N;ORIG;KWH;
A;16/10/2020 03:45;0;N;ORIG;KWH;
A;16/10/2020 04:00;0;N;ORIG;KWH;
A;16/10/2020 04:15;0;N;ORIG;KWH;
A;16/10/2020 04:30;0;N;ORIG;KWH;
A;16/10/2020 04:45;0;N;ORIG;KWH;
A;16/10/2020 05:00;0;N;ORIG;KWH;
A;16/10/2020 05:15;0;N;ORIG;KWH;
A;16/10/2020 05:30;0;N;ORIG;KWH;
A;16/10/2020 05:45;0;N;ORIG;KWH;
A;16/10/2020 06:00;0;N;ORIG;KWH;
A;16/10/2020 06:15;0;N;ORIG;KWH;
A;16/10/2020 06:30;0;N;ORIG;KWH;
A;16/10/2020 06:45;0;N;ORIG;KWH;
A;16/10/2020 07:00;0;N;ORIG;KWH;
A;16/10/2020 07:15;0;N;ORIG;KWH;
A;16/10/2020 07:30;0;N;ORIG;KWH;
A;16/10/2020 07:45;0;N;ORIG;KWH;
A;16/10/2020 08:00;0;N;ORIG;KWH;
A;16/10/2020 08:15;0;N;ORIG;KWH;
A;16/10/2020 08:30;0;N;ORIG;KWH;
A;16/10/2020 08:45;0;N;ORIG;KWH;
A;16/10/2020 09:00;0;N;ORIG;KWH;
A;16/10/2020 09:15;0;N;ORIG;KWH;
A;16/10/2020 09:30;18,075;N;ORIG;KWH;
A;16/10/2020 09:45;19,862;N;ORIG;KWH;
A;16/10/2020 10:00;22,087;N;ORIG;KWH;
A;16/10/2020 10:15;33,45;N;ORIG;KWH;
A;16/10/2020 10:30;33,338;N;ORIG;KWH;
A;16/10/2020 10:45;33,325;N;ORIG;KWH;
A;16/10/2020 11:00;33,263;N;ORIG;KWH;
A;16/10/2020 11:15;33,25;N;ORIG;KWH;
A;16/10/2020 11:30;33,188;N;ORIG;KWH;
A;16/10/2020 11:45;33,225;N;ORIG;KWH;
A;16/10/2020 12:00;33,213;N;ORIG;KWH;
A;16/10/2020 12:15;33,237;N;ORIG;KWH;
A;16/10/2020 12:30;33,2;N;ORIG;KWH;
A;16/10/2020 12:45;33,175;N;ORIG;KWH;
A;16/10/2020 13:00;33,188;N;ORIG;KWH;
A;16/10/2020 13:15;33,213;N;ORIG;KWH;
A;16/10/2020 13:30;33,188;N;ORIG;KWH;
