Date,cons,
dec,132.169,
jan,112.969,
feb,80.011,
mar,62.606,
apr,46.68,
may,13.22,
jun,0.012,
jul,0,
aug,0,
sep,0.024,
oct,0.129,
nov,38.67,
dec,111.312,
